code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA Fiatal mezõgazdasági termelõk számára nyújtandó támogatás (Nemzeti, Nemzeti)","EAFRD Support for young farmers (National, National)",Kim moved to National. Frida: Could also be measure V/B.1.2. on row 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burley dohány kiegészítõ-termeléstõl elválasztott (Nemzeti, Nemzeti)","Burley Separated from Tobacco Supplement Production (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Családi gazdálkodók átmeneti állami támogatása (Nemzeti, Nemzeti)","Temporary State Support for Family Farmers (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - ÉLIP (EMVA, Nemzeti)","EAFRD - ELIP (EAFRD, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - ÉLIP (Nemzeti, Nemzeti)","EAFRD - ELIP (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOP Akvakultúra (EHA, Nemzeti)","HOP Aquaculture (EHA, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOP Természetes vízi halászat (EHA, Nemzeti)","HOP Natural Aquatic Fishing (EHA, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mûködési alapok támogatása (Nemzeti, Nemzeti)","Operational Fund Support (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sertéstenyésztõ de minimis támogatás (Nemzeti, Nemzeti)","Pig-breeding de minimis aid (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Szárított takarmány de minimis támogatás (Nemzeti, Nemzeti)","Dried fodder de minimis aid (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tanyafejlesztés 2. § (5) mezõgazdasági de minimis (Nemzeti, Nemzeti)","Farm development § 2 (5) agricultural de minimis (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tanyafejlesztés 2. § (6) bekezdés (Nemzeti, Nemzeti)","Farm Development Section 2 (6) (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tenyésznyúl tenyésztésbe állításának de minimis támogatása (Nemzeti, Nemzeti)","De minimis support for breeding rabbits (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tenyésztésszervezés támogatása (Nemzeti, Nemzeti)","Breeding organization support (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TS vidékfejlesztési program lebonyolítása (EMVA, Nemzeti)","Implementation of TS Rural Development Program (EAFRD, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia dohány kiegészítõ-termeléstõl elválasztott (Nemzeti, Nemzeti)","Virginia Separated from Tobacco Supplement Production (National, National)",Kim added 10 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School Milk Scheme,Only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vocational training and information actions,Kim added 7 April 2020. Returned as non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pieno sektoriaus restruktūrizavimas (EAFRD),Dairy sector restructuring (EAFRD) ,Only one that mentions both dairy and restructuring but unsure ,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specialioji parama už pieną (EAGF),Special support for milk (EAGF),Only one that mentions special support and dairy but unsure,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pieno sektoriaus restruktūrizavimas,  įkuriant naujas pieno perdirbimo įmones (EAFRD)",Dairy sector restructuring through the creation of new milk processing plants (EAFRD),Only one that mentions both dairy and restructuring but unsure ,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiesioginės išmokos už energetinius augalus (EAGF),Direct payments for energy crops (EAGF),Could be this one but unsure,,,,,,,,,,,,,,,,,,,,,,,,
III.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viešojo saugojimo Techninės išlaidos (EAGF - other),Public Storage Technical Expenses (EAGF - Other),Could be this one but unsure. ,,,,,,,,,,,,,,,,,,,,,,,,
III.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tam tikrų produktų gamyba (Leader metodas) (EAFRD),Production of certain products (Leader method) (EAFRD),"Unsure. Could also be measure III.9 on row 27, other one that mentions certain products. ",,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pienas mokykloms (EAGF - other),School Milk (EAGF),Only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaisių vartojimo skatinimas mokyklose (EAGF - other),Fruit Promotion in Schools (EAGF - Other),Only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,
III.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laikinoji parama pieno gamintojams, patyrusiems nuostolių dėl Rusijos Federacijos pieno gaminių importo embargo (LT) (EAGF - other)",Temporary assistance to dairy producers who have suffered losses as a result of the embargo on imports of dairy products from the Russian Federation (EAGF - other),"Could be this one, could also be measure IV/A.22 on row 50 or measure III.1 on row 19",,,,,,,,,,,,,,,,,,,,,,,,
IV/A.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konsultavimas dėl ūkio atitikimo įvertinimo (EAFRD),"Farm Conformity Assessment (EAFRD) (Translation probably ok, this literally means consultation on your farm to see whether it meets certain requirements)",Could be this one but unsure. Could also be measure V/B.1.4 on row 57. ,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atsinaujinantys energijos šaltiniai (EAFRD),Renewable Energy Sources (EAFRD),"Only one that mentions renewable energy, but unsure. ",,,,,,,,,,,,,,,,,,,,,,,,
IV/A.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parama, susijusi su investicijomis (EAFRD)",Support for investments (EAFRD),Could also be measure on row 77 (V/B.2.6.) or 84 (V/B.2.13),,,,,,,,,,,,,,,,,,,,,,,,
IV/A.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pagalba gamintojų grupėms, administracinė veikla - metinė išmoka (EAGF - other)","Support for producer groups, administrative activities - annual payment (EAGF - other)",Could be this one as only one that mentions a more general support for PO's. Doesn't really fit. ,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tausojanti aplinką vaisių ir daržovių auginimo sistema (EAFRD),Environmentally friendly fruit and vegetable growing system (EAFRD),Only one that mentions environmentally friendly production,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategijos priemonė, kurios nereglamentuoja Lietuvos kaimo plėtros 2007-2013 m. programa (Leader metodas) (PVM) (EAFRD)","Strategy tool, which has not been regulated by the Lithuanian rural development program of 2007-2013. (Leader approach) (VAT) (EAFRD)","Only one that somehow mentions tools, but unsure as it doesn't say strategy tool. Fits no where else. ",,,,,,,,,,,,,,,,,,,,,,,,
IV/A.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techninė pagalba. Parama programos parengimui, valdymui, priežiūrai ir kontrolei (EAFRD)","Technical support.Support for program preparation, management, monitoring and control (EAFRD)",Could also be measure V/B.4.6 on row 98,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Techninė pagalba. Informavimas ir viešumas (EAFRD),Technical support.Information and Publicity (EAFRD),Could also be measure V/B.4.6 on row 98,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 mokymų kryptis: Žemės ūkio gamybos technologijos, kt. (PVM) (EAFRD)","Second training course: Agricultural production technologies, etc. (VAT) (EAFRD)",Only one that mentions training in agricultural production and tech. ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parama, susijusi su kaimo plėtros gerosios patirties ir kitos informacijos sklaida (EAFRD)",Support for the dissemination of good practices and other information on rural development (EAFRD),"Could be this one but unsure, fits no where else. ",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 mokymų kryptis: Žemės ūkio gamybos technologijos, kt. (EAFRD)","Second training course: Agricultural production technologies, etc. (EAFRD)",Only one that mentions training of agricultural prod. Tech.,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokslo žinių ir inovacinės praktikos sklaida (PVM) (EAFRD),Dissemination of Knowledge and Innovation Practices (VAT) (EAFRD),Only one that mentions diffusion of knowledge and innovation,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokslo žinių ir inovacinės praktikos sklaida (EAFRD),Dissemination of Knowledge and Innovation Practices (EAFRD),Kim added 8 April 2020. Returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 mokymų kryptis: Ūkio valdymo, agrarinės aplinkosaugos, kt. (EAFRD)","First training course: Farm management, agri-environmental, etc. (EAFRD)",Only one that mentions training in agricultural production ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 mokymų kryptis: Ūkio valdymo, agrarinės aplinkosaugos, kt. (PVM) (EAFRD)","First training course: Farm management, agri-environmental, etc. (VAT) (EAFRD)",Only one that mentions training in agricultural production ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaunųjų ūkininkų įsikūrimas (EAFRD),Setting-up of Young Farmers (EAFRD),Description correspond,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ankstyvas pasitraukimas iš prekinės žemės ūkio gamybos (2004-2006 m. KPP įsipareigojimai) (EAFRD),Early retirement from agricultural production (RDP 2004-2006) (EAFRD),Only one that mentions early retirement,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konsultavimas miškų ūkio klausimais (EAFRD),Forestry Consulting (EAFRD),"Could be this one as one of 2 that mentions advisory services, could also be measure IV/A.2 on row 30",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mažos ekonominės vertės medynų ir krūmynų  pertvarkymas bei jaunuolynų ugdymas (supaprastinta tvarka) (EAFRD),Replacement of stands and bushes of low economic value and development of young stands (simplified procedure) (EAFRD),"Could be this one but unsure, fits no where else. ",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyvulių ir paukščių prekinės vertės didinimas (PVM) (EAFRD),Increasing the commodity value of animals and birds (VAT) (EAFRD),"Not a perfect match. Could also be measure IV/A.12 row 40, V/B.1.7. row 60, or V/B.2.3. row 84. ",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyvulių ir paukščių prekinės vertės didinimas (EAFRD),Increasing the commodity value of animals and birds (EAFRD),"Not a perfect match. Could also be measure IV/A.12 row 40, V/B.1.7. row 60, or V/B.2.3. row 84. ",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investicijos į žemės ūkio produktų gamybą ir paslaugas (supaprastinta tvarka) (EAFRD),Investment in agricultural production and services (simplified procedure) (EAFRD),"Could be this one as only one that mentions investments in agr. Prod, but unsure",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investicijos į žemės ūkio produktų gamybą ir paslaugas (EAFRD),Investment in agricultural production and services (EAFRD),"Could be this one as only one that mentions investments in agr. Prod, but unsure",,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Žemės ūkio vandentvarka (2007-2013 įsipareigojimai) (EAFRD),Agricultural Water Management (2007-2013 Commitments) (EAFRD),Only one that mentions water management but doesn't really fit ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Žemės ūkio vandentvarka (EAFRD),Agricultural Water Management (EAFRD),Only one that mentions water management but doesn't really fit ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Žemės konsolidacija (PVM) (EAFRD),Land Consolidation (VAT) (EAFRD),Only one that mentions land consolidation,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Žemės konsolidacija (EAFRD),Land Consolidation (EAFRD),Only one that mentions land consolidation,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Žemės ūkio vandentvarka (PVM) (EAFRD),Agricultural Water Management (VAT) (EAFRD),KIM: Moved to own line (previously on same line as RO scheme). FRIDA: Only one that mentions water management ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokslo žinių ir inovacinės praktikos sklaida (EAFRD),Forest Infrastructure Improvement (EAFRD),Kim added 8 April 2020. Returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Išmokos ūkininkaujantiems vietovėse su kliūtimis, išskyrus kalnuotas vietoves (EAFRD)",Payments for farming areas with handicaps other than mountain areas (EAFRD),Kim added 8 April 2020. Returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATURA 2000 išmokos (EAFRD),NATURA 2000 Payments (EAFRD),Description correspond,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nykstančių gyvulių ir paukščių išsaugojimas (EAFRD),Conservation of endangered animals and birds (EAFRD),"Could be this one but unsure, could also be measure IV/A.17 on row 45",,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirmas žemės ūkio paskirties žemės apželdinimas mišku (2004-2006 m. KPP įsipareigojimai) PVM (EAFRD),First afforestation of agricultural land (RDP 2004-2006) VAT (EAFRD),Description correspond,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirmas žemės ūkio paskirties žemės apželdinimas mišku (2007-2013 m. KPP) (EAFRD),First afforestation of agricultural land (2007-2013 RDP) (EAFRD),Description correspond,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirmas žemės ūkio paskirties žemės apželdinimas mišku (2004-2006 m. KPP įsipareigojimai) (EAFRD),First afforestation of agricultural land (RDP commitments 2004-2006) (EAFRD),Kim added 8 April 2020. Returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miškų aplinkosaugos išmokos. Išmokos už pagrindinių miško kirtimų nevykdymą identifikuotose KMB (EAFRD),Forest environmental protection payments. Payments for non-felling activities within identified key forest areas KMB (EAFRD).,"Could also be measure IV/A.8 on row 36, or IV/A.12 on row 40. Placed here because only one that mentions forest protection payments. ",,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perėjimas prie ne žemės ūkio veiklos (EAFRD),Transition to non-agricultural activities (EAFRD),"Description fits, only one that mentions transition to non-agr act in first sentence",,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parama ne žemės ūkio veiklai (Leader metodas) (EAFRD),Support for non-agricultural activities (Leader approach) (EAFRD),"Description fits, only one that mentions non-agr act in first sentence. But could also be measure IV/A.6 row 34, V/B.3.2 row 86,  V/B 3.7 row 91",,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parama ne žemės ūkio veiklai (EAFRD),Non-Agricultural Support (EAFRD),"Description fits, only one that mentions non-agr act in first sentence. But could also be measure IV/A.6 row 34, V/B.3.2 row 86,  V/B 3.7 row 91",,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parama ne žemės ūkio veiklai (supaprastinta tvarka) (EAFRD),Non-agricultural support (simplified procedure) (EAFRD),"Description fits, only one that mentions non-agr act in first sentence. But could also be measure IV/A.6 row 34, V/B.3.2 row 86,  V/B 3.7 row 91",,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perėjimas prie ne žemės ūkio veiklos (supaprastinta tvarka) (EAFRD),Transition to non-agricultural activities (simplified procedure) (EAFRD),Kim added 8 April 2020. Returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaimo turizmo veiklos skatinimas (Leader metodas) (EAFRD),Promotion of rural tourism activities (Leader method) (EAFRD),Only one that mentions tourism activities and rural,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaimo turizmo skatinimas  (supaprastinta tvarka) (EAFRD),Promotion of rural tourism (simplified procedure) (EAFRD),Only one that mentions tourism activities and rural,,,,,,,,,,,,,,,,,,,,,,,,
